"time","circ1.bats[1].v","circ1.bats[2].v","circ1.bats[3].v","circ1.bats[1].vr","circ1.bats[2].vr","circ1.bats[3].vr","circ1.gnd.p.i","circ1.gnd.p.v","circ1.r_load.i","circ1.r_load.r_int","circ1.r_load.v","circ1.s[1].i","circ1.s[2].i","circ1.s[3].i","circ1.s[1].r_int","circ1.s[2].r_int","circ1.s[3].r_int","circ1.s[1].v","circ1.s[2].v","circ1.s[3].v","circ1.target_v","circ1.tolerance","circ1.r_load.percentage","circ1.bat_num","circ1.bats[1].state","circ1.bats[2].state","circ1.bats[3].state","circ1.r_load.state","circ1.s[1].mode","circ1.s[2].mode","circ1.s[3].mode","circ1.s[1].state","circ1.s[2].state","circ1.s[3].state","on","circ1.bats[1].i","circ1.bats[2].i","circ1.bats[3].i","circ1.bats[1].m.i","circ1.bats[2].m.i","circ1.bats[3].m.i","circ1.bats[1].m.v","circ1.bats[2].m.v","circ1.bats[3].m.v","circ1.bats[1].p.i","circ1.bats[2].p.i","circ1.bats[3].p.i","circ1.bats[1].p.v","circ1.bats[2].p.v","circ1.bats[3].p.v","circ1.r_load.m.i","circ1.r_load.m.v","circ1.r_load.p.i","circ1.r_load.p.v","circ1.s[1].m.i","circ1.s[2].m.i","circ1.s[3].m.i","circ1.s[1].m.v","circ1.s[2].m.v","circ1.s[3].m.v","circ1.s[1].p.i","circ1.s[2].p.i","circ1.s[3].p.i","circ1.s[1].p.v","circ1.s[2].p.v","circ1.s[3].p.v"
4.6,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
4.7,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
4.8,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
4.9,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
5,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
5.1,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
5.2,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
5.3,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
5.4,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
5.5,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
5.6,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
5.7,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
5.8,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
5.9,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
6,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
6,0,2.999996695507434e-09,2.999996695507434e-09,199.9999999932,-99.999999997,-99.999999997,0,0,8.000045070843953e-12,250,1.999996695537434e-09,-1.999999999932,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.95,50,3,4,1,1,1,2,2,2,1,1,1,3,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.999999999932,-0.99999999997,-0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10,-8.000045070843953e-12,-1.999996695537434e-09,8.000045070843953e-12,0,1.999999999932,-0.99999999997,-0.99999999997,0,0,0,-1.999999999932,0.99999999997,0.99999999997,-1.999999999932e-09,9.999999999700001e-10,9.999999999700001e-10
