"time","circ1.bats[1].v","circ1.bats[2].v","circ1.bats[3].v","circ1.bats[1].vr","circ1.bats[2].vr","circ1.bats[3].vr","circ1.gnd.p.i","circ1.gnd.p.v","circ1.r_load.i","circ1.r_load.r_int","circ1.s[1].i","circ1.s[2].i","circ1.s[3].i","circ1.s[1].r_int","circ1.s[2].r_int","circ1.s[3].r_int","circ1.s[1].v","circ1.s[2].v","circ1.s[3].v","circ1.target_v","circ1.tolerance","circ1.r_load.percentage","circ1.bat_num","circ1.bats[1].state","circ1.bats[2].state","circ1.bats[3].state","circ1.r_load.state","circ1.s[1].mode","circ1.s[2].mode","circ1.s[3].mode","circ1.s[1].state","circ1.s[2].state","circ1.s[3].state","on","circ1.bats[1].i","circ1.bats[2].i","circ1.bats[3].i","circ1.bats[1].m.i","circ1.bats[2].m.i","circ1.bats[3].m.i","circ1.bats[1].m.v","circ1.bats[2].m.v","circ1.bats[3].m.v","circ1.bats[1].p.i","circ1.bats[2].p.i","circ1.bats[3].p.i","circ1.bats[1].p.v","circ1.bats[2].p.v","circ1.bats[3].p.v","circ1.r_load.m.i","circ1.r_load.m.v","circ1.r_load.p.i","circ1.r_load.p.v","circ1.r_load.v","circ1.s[1].m.i","circ1.s[2].m.i","circ1.s[3].m.i","circ1.s[1].m.v","circ1.s[2].m.v","circ1.s[3].m.v","circ1.s[1].p.i","circ1.s[2].p.i","circ1.s[3].p.i","circ1.s[1].p.v","circ1.s[2].p.v","circ1.s[3].p.v"
0,0,99.99999000000101,99.99999000000101,1.99999979999602e-05,-9.9999990000001e-06,-9.9999990000001e-06,0,0,4.000113093408433e-19,500,-1.99999979999602e-07,9.9999990000001e-08,9.9999990000001e-08,1e-09,1000000000,1000000000,0,99.99999000000101,99.99999000000101,90,0.9,100,3,2,1,1,1,2,1,1,1,1,1,1,1.99999979999602e-07,-9.9999990000001e-08,-9.9999990000001e-08,-1.99999979999602e-07,9.9999990000001e-08,9.9999990000001e-08,0,0,0,1.99999979999602e-07,-9.9999990000001e-08,-9.9999990000001e-08,0,99.99999000000101,99.99999000000101,-4.000113093408433e-19,0,4.000113093408433e-19,0,-0,1.99999979999602e-07,-9.9999990000001e-08,-9.9999990000001e-08,0,0,0,-1.99999979999602e-07,9.9999990000001e-08,9.9999990000001e-08,0,99.99999000000101,99.99999000000101
1.004082150757313e-10,0,99.99999000000101,99.99999000000101,1.99999979999602e-05,-9.9999990000001e-06,-9.9999990000001e-06,0,0,4.000113093408433e-19,500,-1.99999979999602e-07,9.9999990000001e-08,9.9999990000001e-08,1e-09,1000000000,1000000000,0,99.99999000000101,99.99999000000101,90,0.9,100,3,2,1,1,1,2,1,1,1,1,1,1,1.99999979999602e-07,-9.9999990000001e-08,-9.9999990000001e-08,-1.99999979999602e-07,9.9999990000001e-08,9.9999990000001e-08,0,0,0,1.99999979999602e-07,-9.9999990000001e-08,-9.9999990000001e-08,0,99.99999000000101,99.99999000000101,-4.000113093408433e-19,0,4.000113093408433e-19,0,-0,1.99999979999602e-07,-9.9999990000001e-08,-9.9999990000001e-08,0,0,0,-1.99999979999602e-07,9.9999990000001e-08,9.9999990000001e-08,0,99.99999000000101,99.99999000000101
1.004082150757313e-10,0,3.000010906362149e-09,3.000010906362149e-09,199.9999999899999,-99.99999999699999,-99.99999999699999,0,0,4.000066944342962e-11,50,-1.999999999899999,0.9999999999699999,0.9999999999699999,1e-09,1e-09,1e-09,-2.00001090639215e-09,9.999999999699999e-10,9.999999999699999e-10,90,0.9,10,3,2,1,1,1,2,2,2,1,1,1,3,1.999999999899999,-0.9999999999699999,-0.9999999999699999,-1.999999999899999,0.9999999999699999,0.9999999999699999,-2.00001090639215e-09,-2.00001090639215e-09,-2.00001090639215e-09,1.999999999899999,-0.9999999999699999,-0.9999999999699999,-2.00001090639215e-09,9.999999999699999e-10,9.999999999699999e-10,-4.000066944342962e-11,-2.00001090639215e-09,4.000066944342962e-11,0,2.00001090639215e-09,1.999999999899999,-0.9999999999699999,-0.9999999999699999,0,0,0,-1.999999999899999,0.9999999999699999,0.9999999999699999,-2.00001090639215e-09,9.999999999699999e-10,9.999999999699999e-10
0.1,0,2.999996695507434e-09,2.999996695507434e-09,199.99999999,-99.999999997,-99.999999997,0,0,4.000000330961484e-11,50,-1.9999999999,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.9,10,3,2,1,1,1,2,2,2,1,1,1,3,1.9999999999,-0.99999999997,-0.99999999997,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,-4.000000330961484e-11,-1.999996695537434e-09,4.000000330961484e-11,0,1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,0,0,0,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10
0.2,0,2.999996695507434e-09,2.999996695507434e-09,199.99999999,-99.999999997,-99.999999997,0,0,4.000000330961484e-11,50,-1.9999999999,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.9,10,3,2,1,1,1,2,2,2,1,1,1,3,1.9999999999,-0.99999999997,-0.99999999997,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,-4.000000330961484e-11,-1.999996695537434e-09,4.000000330961484e-11,0,1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,0,0,0,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10
0.3,0,2.999996695507434e-09,2.999996695507434e-09,199.99999999,-99.999999997,-99.999999997,0,0,4.000000330961484e-11,50,-1.9999999999,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.9,10,3,2,1,1,1,2,2,2,1,1,1,3,1.9999999999,-0.99999999997,-0.99999999997,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,-4.000000330961484e-11,-1.999996695537434e-09,4.000000330961484e-11,0,1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,0,0,0,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10
0.4,0,2.999996695507434e-09,2.999996695507434e-09,199.99999999,-99.999999997,-99.999999997,0,0,4.000000330961484e-11,50,-1.9999999999,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.9,10,3,2,1,1,1,2,2,2,1,1,1,3,1.9999999999,-0.99999999997,-0.99999999997,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,-4.000000330961484e-11,-1.999996695537434e-09,4.000000330961484e-11,0,1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,0,0,0,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10
0.5,0,2.999996695507434e-09,2.999996695507434e-09,199.99999999,-99.999999997,-99.999999997,0,0,4.000000330961484e-11,50,-1.9999999999,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.9,10,3,2,1,1,1,2,2,2,1,1,1,3,1.9999999999,-0.99999999997,-0.99999999997,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,-4.000000330961484e-11,-1.999996695537434e-09,4.000000330961484e-11,0,1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,0,0,0,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10
0.6,0,2.999996695507434e-09,2.999996695507434e-09,199.99999999,-99.999999997,-99.999999997,0,0,4.000000330961484e-11,50,-1.9999999999,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.9,10,3,2,1,1,1,2,2,2,1,1,1,3,1.9999999999,-0.99999999997,-0.99999999997,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,-4.000000330961484e-11,-1.999996695537434e-09,4.000000330961484e-11,0,1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,0,0,0,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10
0.7,0,2.999996695507434e-09,2.999996695507434e-09,199.99999999,-99.999999997,-99.999999997,0,0,4.000000330961484e-11,50,-1.9999999999,0.99999999997,0.99999999997,1e-09,1e-09,1e-09,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,90,0.9,10,3,2,1,1,1,2,2,2,1,1,1,3,1.9999999999,-0.99999999997,-0.99999999997,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,-1.999996695537434e-09,-1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10,-4.000000330961484e-11,-1.999996695537434e-09,4.000000330961484e-11,0,1.999996695537434e-09,1.9999999999,-0.99999999997,-0.99999999997,0,0,0,-1.9999999999,0.99999999997,0.99999999997,-1.999996695537434e-09,9.999999999700001e-10,9.999999999700001e-10
