"time","circ1.bats[1].v","circ1.bats[2].v","circ1.bats[3].v","circ1.bats[1].vr","circ1.bats[2].vr","circ1.bats[3].vr","circ1.gnd.p.i","circ1.gnd.p.v","circ1.r_load.i","circ1.r_load.r_int","circ1.r_load.v","circ1.s[1].i","circ1.s[2].i","circ1.s[3].i","circ1.s[1].r_int","circ1.s[2].r_int","circ1.s[3].r_int","circ1.s[1].v","circ1.s[2].v","circ1.s[3].v","circ1.target_v","circ1.tolerance","circ1.r_load.percentage","circ1.bat_num","circ1.bats[1].state","circ1.bats[2].state","circ1.bats[3].state","circ1.r_load.state","circ1.s[1].mode","circ1.s[2].mode","circ1.s[3].mode","circ1.s[1].state","circ1.s[2].state","circ1.s[3].state","on","circ1.bats[1].i","circ1.bats[2].i","circ1.bats[3].i","circ1.bats[1].m.i","circ1.bats[2].m.i","circ1.bats[3].m.i","circ1.bats[1].m.v","circ1.bats[2].m.v","circ1.bats[3].m.v","circ1.bats[1].p.i","circ1.bats[2].p.i","circ1.bats[3].p.i","circ1.bats[1].p.v","circ1.bats[2].p.v","circ1.bats[3].p.v","circ1.r_load.m.i","circ1.r_load.m.v","circ1.r_load.p.i","circ1.r_load.p.v","circ1.s[1].m.i","circ1.s[2].m.i","circ1.s[3].m.i","circ1.s[1].m.v","circ1.s[2].m.v","circ1.s[3].m.v","circ1.s[1].p.i","circ1.s[2].p.i","circ1.s[3].p.i","circ1.s[1].p.v","circ1.s[2].p.v","circ1.s[3].p.v"
0,99.999990000016,99.999990000016,99.999990000016,-9.999984000025599e-06,-9.999984000025599e-06,-9.999984000025599e-06,2.646977960169689e-23,0,2.99999520000768e-07,500,0.0001499997599978542,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,1000000000,1000000000,1000000000,99.999840000256,99.999840000256,99.999840000256,90,0.9,100,3,1,1,1,1,2,1,1,2,1,1,1,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,-0.0001499997599978542,-0.0001499997599978542,-0.0001499997599978542,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256,-2.99999520000768e-07,-0.0001499997599978542,2.99999520000768e-07,0,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,0,0,0,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256
1.004082150757313e-10,99.999990000016,99.999990000016,99.999990000016,-9.999984000025599e-06,-9.999984000025599e-06,-9.999984000025599e-06,2.646977960169689e-23,0,2.99999520000768e-07,500,0.0001499997599978542,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,1000000000,1000000000,1000000000,99.999840000256,99.999840000256,99.999840000256,90,0.9,100,3,1,1,1,1,2,1,1,2,1,1,1,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,-0.0001499997599978542,-0.0001499997599978542,-0.0001499997599978542,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256,-2.99999520000768e-07,-0.0001499997599978542,2.99999520000768e-07,0,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,0,0,0,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256
1.004082150757313e-10,99.999990000016,99.999990000016,99.999990000016,-9.999984000025599e-06,-9.999984000025599e-06,-9.999984000025599e-06,2.646977960169689e-23,0,2.99999520000768e-07,500,0.0001499997599978542,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,1000000000,1000000000,1000000000,99.999840000256,99.999840000256,99.999840000256,90,0.9,100,3,1,1,1,1,2,1,1,2,1,1,1,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,-0.0001499997599978542,-0.0001499997599978542,-0.0001499997599978542,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256,-2.99999520000768e-07,-0.0001499997599978542,2.99999520000768e-07,0,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,0,0,0,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256
0.1,99.999990000016,99.999990000016,99.999990000016,-9.999984000025599e-06,-9.999984000025599e-06,-9.999984000025599e-06,2.646977960169689e-23,0,2.99999520000768e-07,500,0.0001499997599978542,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,1000000000,1000000000,1000000000,99.999840000256,99.999840000256,99.999840000256,90,0.9,100,3,1,1,1,1,2,1,1,2,1,1,1,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,-0.0001499997599978542,-0.0001499997599978542,-0.0001499997599978542,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256,-2.99999520000768e-07,-0.0001499997599978542,2.99999520000768e-07,0,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,0,0,0,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256
0.2,99.999990000016,99.999990000016,99.999990000016,-9.999984000025599e-06,-9.999984000025599e-06,-9.999984000025599e-06,2.646977960169689e-23,0,2.99999520000768e-07,500,0.0001499997599978542,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,1000000000,1000000000,1000000000,99.999840000256,99.999840000256,99.999840000256,90,0.9,100,3,1,1,1,1,2,1,1,2,1,1,1,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,-0.0001499997599978542,-0.0001499997599978542,-0.0001499997599978542,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256,-2.99999520000768e-07,-0.0001499997599978542,2.99999520000768e-07,0,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,0,0,0,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256
0.3,99.999990000016,99.999990000016,99.999990000016,-9.999984000025599e-06,-9.999984000025599e-06,-9.999984000025599e-06,2.646977960169689e-23,0,2.99999520000768e-07,500,0.0001499997599978542,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,1000000000,1000000000,1000000000,99.999840000256,99.999840000256,99.999840000256,90,0.9,100,3,1,1,1,1,2,1,1,2,1,1,1,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,-0.0001499997599978542,-0.0001499997599978542,-0.0001499997599978542,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256,-2.99999520000768e-07,-0.0001499997599978542,2.99999520000768e-07,0,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,0,0,0,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256
0.4,99.999990000016,99.999990000016,99.999990000016,-9.999984000025599e-06,-9.999984000025599e-06,-9.999984000025599e-06,2.646977960169689e-23,0,2.99999520000768e-07,500,0.0001499997599978542,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,1000000000,1000000000,1000000000,99.999840000256,99.999840000256,99.999840000256,90,0.9,100,3,1,1,1,1,2,1,1,2,1,1,1,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,-0.0001499997599978542,-0.0001499997599978542,-0.0001499997599978542,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256,-2.99999520000768e-07,-0.0001499997599978542,2.99999520000768e-07,0,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,0,0,0,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256
0.5,99.999990000016,99.999990000016,99.999990000016,-9.999984000025599e-06,-9.999984000025599e-06,-9.999984000025599e-06,2.646977960169689e-23,0,2.99999520000768e-07,500,0.0001499997599978542,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,1000000000,1000000000,1000000000,99.999840000256,99.999840000256,99.999840000256,90,0.9,100,3,1,1,1,1,2,1,1,2,1,1,1,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,-0.0001499997599978542,-0.0001499997599978542,-0.0001499997599978542,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256,-2.99999520000768e-07,-0.0001499997599978542,2.99999520000768e-07,0,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,0,0,0,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256
0.6,99.999990000016,99.999990000016,99.999990000016,-9.999984000025599e-06,-9.999984000025599e-06,-9.999984000025599e-06,2.646977960169689e-23,0,2.99999520000768e-07,500,0.0001499997599978542,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,1000000000,1000000000,1000000000,99.999840000256,99.999840000256,99.999840000256,90,0.9,100,3,1,1,1,1,2,1,1,2,1,1,1,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,-0.0001499997599978542,-0.0001499997599978542,-0.0001499997599978542,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256,-2.99999520000768e-07,-0.0001499997599978542,2.99999520000768e-07,0,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,0,0,0,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256
0.7,99.999990000016,99.999990000016,99.999990000016,-9.999984000025599e-06,-9.999984000025599e-06,-9.999984000025599e-06,2.646977960169689e-23,0,2.99999520000768e-07,500,0.0001499997599978542,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,1000000000,1000000000,1000000000,99.999840000256,99.999840000256,99.999840000256,90,0.9,100,3,1,1,1,1,2,1,1,2,1,1,1,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,-0.0001499997599978542,-0.0001499997599978542,-0.0001499997599978542,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256,-2.99999520000768e-07,-0.0001499997599978542,2.99999520000768e-07,0,-9.9999840000256e-08,-9.9999840000256e-08,-9.9999840000256e-08,0,0,0,9.9999840000256e-08,9.9999840000256e-08,9.9999840000256e-08,99.999840000256,99.999840000256,99.999840000256
