"time","circ1.bats[1].v","circ1.bats[2].v","circ1.bats[3].v","circ1.bats[1].vr","circ1.bats[2].vr","circ1.bats[3].vr","circ1.gnd.p.i","circ1.gnd.p.v","circ1.r_load.i","circ1.r_load.r_int","circ1.s[1].i","circ1.s[2].i","circ1.s[3].i","circ1.s[1].r_int","circ1.s[2].r_int","circ1.s[3].r_int","circ1.s[1].v","circ1.s[2].v","circ1.s[3].v","circ1.target_v","circ1.tolerance","circ1.r_load.percentage","circ1.bat_num","circ1.bats[1].state","circ1.bats[2].state","circ1.bats[3].state","circ1.r_load.state","circ1.s[1].mode","circ1.s[2].mode","circ1.s[3].mode","circ1.s[1].state","circ1.s[2].state","circ1.s[3].state","on","circ1.bats[1].i","circ1.bats[2].i","circ1.bats[3].i","circ1.bats[1].m.i","circ1.bats[2].m.i","circ1.bats[3].m.i","circ1.bats[1].m.v","circ1.bats[2].m.v","circ1.bats[3].m.v","circ1.bats[1].p.i","circ1.bats[2].p.i","circ1.bats[3].p.i","circ1.bats[1].p.v","circ1.bats[2].p.v","circ1.bats[3].p.v","circ1.r_load.m.i","circ1.r_load.m.v","circ1.r_load.p.i","circ1.r_load.p.v","circ1.r_load.v","circ1.s[1].m.i","circ1.s[2].m.i","circ1.s[3].m.i","circ1.s[1].m.v","circ1.s[2].m.v","circ1.s[3].m.v","circ1.s[1].p.i","circ1.s[2].p.i","circ1.s[3].p.i","circ1.s[1].p.v","circ1.s[2].p.v","circ1.s[3].p.v"
0,0,99.99999000000101,99.99999000000101,1.99999979999602e-05,-9.9999990000001e-06,-9.9999990000001e-06,0,0,4.000113093408433e-19,500,-1.99999979999602e-07,9.9999990000001e-08,9.9999990000001e-08,1e-09,1000000000,1000000000,0,99.99999000000101,99.99999000000101,90,0.9,100,3,2,1,1,1,2,1,1,1,1,1,1,1.99999979999602e-07,-9.9999990000001e-08,-9.9999990000001e-08,-1.99999979999602e-07,9.9999990000001e-08,9.9999990000001e-08,0,0,0,1.99999979999602e-07,-9.9999990000001e-08,-9.9999990000001e-08,0,99.99999000000101,99.99999000000101,-4.000113093408433e-19,0,4.000113093408433e-19,0,-0,1.99999979999602e-07,-9.9999990000001e-08,-9.9999990000001e-08,0,0,0,-1.99999979999602e-07,9.9999990000001e-08,9.9999990000001e-08,0,99.99999000000101,99.99999000000101
1.004082150757313e-10,0,99.99999000000101,99.99999000000101,1.99999979999602e-05,-9.9999990000001e-06,-9.9999990000001e-06,0,0,4.000113093408433e-19,500,-1.99999979999602e-07,9.9999990000001e-08,9.9999990000001e-08,1e-09,1000000000,1000000000,0,99.99999000000101,99.99999000000101,90,0.9,100,3,2,1,1,1,2,1,1,1,1,1,1,1.99999979999602e-07,-9.9999990000001e-08,-9.9999990000001e-08,-1.99999979999602e-07,9.9999990000001e-08,9.9999990000001e-08,0,0,0,1.99999979999602e-07,-9.9999990000001e-08,-9.9999990000001e-08,0,99.99999000000101,99.99999000000101,-4.000113093408433e-19,0,4.000113093408433e-19,0,-0,1.99999979999602e-07,-9.9999990000001e-08,-9.9999990000001e-08,0,0,0,-1.99999979999602e-07,9.9999990000001e-08,9.9999990000001e-08,0,99.99999000000101,99.99999000000101
1.004082150757313e-10,0,2.00000363543405e-09,99.99999000000101,100.000009997599,-99.99999999799999,-9.999998999900101e-06,0,0,3.999911513119514e-12,250,-1.00000009997599,0.9999999999799999,9.9999989999001e-08,1e-09,1e-09,1000000000,-1.00000363545405e-09,9.999999999799999e-10,99.999989999001,90,0.9,50,3,2,1,1,1,2,2,1,1,1,1,2,1.00000009997599,-0.9999999999799999,-9.9999989999001e-08,-1.00000009997599,0.9999999999799999,9.9999989999001e-08,-1.00000363545405e-09,-1.00000363545405e-09,-1.00000363545405e-09,1.00000009997599,-0.9999999999799999,-9.9999989999001e-08,-1.00000363545405e-09,9.999999999799999e-10,99.999989999001,-3.999911513119514e-12,-1.00000363545405e-09,3.999911513119514e-12,0,1.00000363545405e-09,1.00000009997599,-0.9999999999799999,-9.9999989999001e-08,0,0,0,-1.00000009997599,0.9999999999799999,9.9999989999001e-08,-1.00000363545405e-09,9.999999999799999e-10,99.999989999001
0.1,0,2.00000363543405e-09,99.99999000000101,100.000009997599,-99.99999999799999,-9.999998999900101e-06,0,0,4.000133557724439e-12,250,-1.00000009997599,0.99999999998,9.9999989999001e-08,1e-09,1e-09,1000000000,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,90,0.9,50,3,2,1,1,1,2,2,1,1,1,1,2,1.00000009997599,-0.99999999998,-9.9999989999001e-08,-1.00000009997599,0.99999999998,9.9999989999001e-08,-1.00000363545405e-09,-1.00000363545405e-09,-1.00000363545405e-09,1.00000009997599,-0.99999999998,-9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,-4.000133557724439e-12,-1.00000363545405e-09,4.000133557724439e-12,0,1.00000363545405e-09,1.00000009997599,-0.99999999998,-9.9999989999001e-08,0,0,0,-1.00000009997599,0.99999999998,9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001
0.2,0,2.00000363543405e-09,99.99999000000101,100.000009997599,-99.99999999800001,-9.999998999900101e-06,0,0,3.999911513119514e-12,250,-1.00000009997599,0.9999999999800001,9.9999989999001e-08,1e-09,1e-09,1000000000,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,90,0.9,50,3,2,1,1,1,2,2,1,1,1,1,2,1.00000009997599,-0.9999999999800001,-9.9999989999001e-08,-1.00000009997599,0.9999999999800001,9.9999989999001e-08,-1.00000363545405e-09,-1.00000363545405e-09,-1.00000363545405e-09,1.00000009997599,-0.9999999999800001,-9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,-3.999911513119514e-12,-1.00000363545405e-09,3.999911513119514e-12,0,1.00000363545405e-09,1.00000009997599,-0.9999999999800001,-9.9999989999001e-08,0,0,0,-1.00000009997599,0.9999999999800001,9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001
0.3,0,2.00000363543405e-09,99.99999000000101,100.000009997599,-99.99999999799999,-9.999998999900101e-06,0,0,4.000133557724439e-12,250,-1.00000009997599,0.99999999998,9.9999989999001e-08,1e-09,1e-09,1000000000,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,90,0.9,50,3,2,1,1,1,2,2,1,1,1,1,2,1.00000009997599,-0.99999999998,-9.9999989999001e-08,-1.00000009997599,0.99999999998,9.9999989999001e-08,-1.00000363545405e-09,-1.00000363545405e-09,-1.00000363545405e-09,1.00000009997599,-0.99999999998,-9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,-4.000133557724439e-12,-1.00000363545405e-09,4.000133557724439e-12,0,1.00000363545405e-09,1.00000009997599,-0.99999999998,-9.9999989999001e-08,0,0,0,-1.00000009997599,0.99999999998,9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001
0.4,0,2.00000363543405e-09,99.99999000000101,100.000009997599,-99.99999999800001,-9.999998999900101e-06,0,0,3.999911513119514e-12,250,-1.00000009997599,0.9999999999800001,9.9999989999001e-08,1e-09,1e-09,1000000000,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,90,0.9,50,3,2,1,1,1,2,2,1,1,1,1,2,1.00000009997599,-0.9999999999800001,-9.9999989999001e-08,-1.00000009997599,0.9999999999800001,9.9999989999001e-08,-1.00000363545405e-09,-1.00000363545405e-09,-1.00000363545405e-09,1.00000009997599,-0.9999999999800001,-9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,-3.999911513119514e-12,-1.00000363545405e-09,3.999911513119514e-12,0,1.00000363545405e-09,1.00000009997599,-0.9999999999800001,-9.9999989999001e-08,0,0,0,-1.00000009997599,0.9999999999800001,9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001
0.5,0,2.00000363543405e-09,99.99999000000101,100.000009997599,-99.99999999799999,-9.999998999900101e-06,0,0,4.000133557724439e-12,250,-1.00000009997599,0.99999999998,9.9999989999001e-08,1e-09,1e-09,1000000000,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,90,0.9,50,3,2,1,1,1,2,2,1,1,1,1,2,1.00000009997599,-0.99999999998,-9.9999989999001e-08,-1.00000009997599,0.99999999998,9.9999989999001e-08,-1.00000363545405e-09,-1.00000363545405e-09,-1.00000363545405e-09,1.00000009997599,-0.99999999998,-9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,-4.000133557724439e-12,-1.00000363545405e-09,4.000133557724439e-12,0,1.00000363545405e-09,1.00000009997599,-0.99999999998,-9.9999989999001e-08,0,0,0,-1.00000009997599,0.99999999998,9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001
0.6,0,2.00000363543405e-09,99.99999000000101,100.000009997599,-99.99999999800001,-9.999998999900101e-06,0,0,3.999911513119514e-12,250,-1.00000009997599,0.9999999999800001,9.9999989999001e-08,1e-09,1e-09,1000000000,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,90,0.9,50,3,2,1,1,1,2,2,1,1,1,1,2,1.00000009997599,-0.9999999999800001,-9.9999989999001e-08,-1.00000009997599,0.9999999999800001,9.9999989999001e-08,-1.00000363545405e-09,-1.00000363545405e-09,-1.00000363545405e-09,1.00000009997599,-0.9999999999800001,-9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,-3.999911513119514e-12,-1.00000363545405e-09,3.999911513119514e-12,0,1.00000363545405e-09,1.00000009997599,-0.9999999999800001,-9.9999989999001e-08,0,0,0,-1.00000009997599,0.9999999999800001,9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001
0.7,0,2.00000363543405e-09,99.99999000000101,100.000009997599,-99.99999999799999,-9.999998999900101e-06,0,0,4.000133557724439e-12,250,-1.00000009997599,0.99999999998,9.9999989999001e-08,1e-09,1e-09,1000000000,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,90,0.9,50,3,2,1,1,1,2,2,1,1,1,1,2,1.00000009997599,-0.99999999998,-9.9999989999001e-08,-1.00000009997599,0.99999999998,9.9999989999001e-08,-1.00000363545405e-09,-1.00000363545405e-09,-1.00000363545405e-09,1.00000009997599,-0.99999999998,-9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001,-4.000133557724439e-12,-1.00000363545405e-09,4.000133557724439e-12,0,1.00000363545405e-09,1.00000009997599,-0.99999999998,-9.9999989999001e-08,0,0,0,-1.00000009997599,0.99999999998,9.9999989999001e-08,-1.00000363545405e-09,9.999999999800001e-10,99.999989999001
